129,289,235.58
129,357,249.11
130,132,137.78
130,169,212.13
130,170,348.39
130,179,172.68
130,231,90.75
130,278,133.47
130,333,84.23
131,42,121.73
131,116,170.92
131,118,101.57
131,135,135.16
131,142,146.46
131,143,309.09
131,178,133.04
131,179,242.54
132,42,139.95
132,130,92.54
132,142,200.24
132,143,127.78
132,179,233.62
132,333,118.98
133,52,102.69
133,83,186.22
133,116,132.1
133,141,87.62
133,142,121.0
133,181,204.29
133,290,201.37
133,317,122.82
133,356,298.25
134,9,147.5
134,43,120.37
134,117,125.81
134,136,132.66
134,191,82.72
135,35,138.65
135,118,207.97
135,120,221.61
135,131,140.41
135,136,331.32
135,175,162.74
135,178,134.09
135,195,130.03
135,196,228.27
136,43,132.82
136,117,116.73
136,118,162.0
136,120,82.26
136,134,140.31
136,135,284.73
136,191,234.68
136,194,217.89
136,195,221.5
137,61,247.18
137,65,114.92
137,144,134.46
137,198,187.98
137,199,114.16
137,201,156.06
137,240,152.57
138,44,123.16
138,119,180.34
138,122,103.6
138,123,145.23
138,139,116.97
138,140,132.99
139,44,128.96
139,46,170.61
139,125,174.3
139,138,98.79
139,140,107.5
139,212,112.29
139,221,75.65
139,246,262.78
140,34,218.74
140,119,125.57
140,125,79.64
140,138,156.7
140,139,138.15
141,133,97.98
141,142,98.36
141,290,115.35
141,317,142.7
142,116,102.38
142,118,240.52
142,131,266.19
142,132,231.15
142,133,101.98
142,141,122.62
142,143,131.78
142,290,212.43
142,333,227.36
143,42,199.01
143,131,455.1
143,132,112.04
143,142,109.48
144,137,134.81
144,199,251.16
144,201,112.85
144,228,128.39
144,240,156.94
144,248,164.57
145,53,160.03
145,146,151.72
145,171,172.26
145,183,238.73
145,220,151.42
145,295,229.2
145,335,156.77
146,53,88.67
146,145,135.85
146,167,180.46
146,171,191.48
146,183,211.73
146,189,211.88
146,220,272.18
147,9,91.5
147,43,115.59
147,148,78.33
147,149,188.03
147,218,90.8
148,43,84.94
148,147,94.83
148,149,175.0
148,193,113.42
149,32,156.5
149,58,109.85
149,64,152.26
149,147,133.31
149,148,107.93
149,193,136.07
149,198,147.14
149,199,169.73
149,218,105.38
150,61,103.63
150,66,139.93
150,67,158.72
150,187,103.74
150,190,118.67
151,7,253.61
151,31,128.48
151,119,206.19
151,123,109.88
151,152,99.7
151,219,88.36
152,31,91.05
152,151,121.44
152,153,172.74
152,154,235.71
152,219,82.31
152,233,102.26
153,152,228.09
153,154,251.32
153,162,251.41
153,166,114.85
153,233,102.55
154,7,362.22
154,8,203.35
154,45,225.52
154,47,230.16
154,152,190.9
154,153,184.52
154,155,186.3
154,157,127.76
154,162,167.54
154,166,232.25
154,210,190.18
154,219,130.11
154,223,287.51
154,233,252.23
155,35,125.13
155,47,73.27
155,154,159.51
155,157,92.64
155,175,82.2
155,210,197.1
156,31,138.58
156,34,104.23
156,36,156.16
156,41,187.43
156,119,89.45
156,127,106.22
156,246,210.46
157,49,223.78
157,57,114.23
157,154,108.72
157,155,102.93
157,162,130.25
157,170,134.59
157,175,186.36
158,33,171.8
158,60,165.58
158,115,139.63
158,229,193.43
158,241,295.29
158,249,215.0
159,33,150.65
159,81,192.21
159,113,174.84
159,114,132.57
159,241,189.32
159,349,119.89
160,54,240.05
160,115,203.44
160,129,135.42
160,161,155.41
160,176,208.94
160,229,129.54
160,235,225.94
160,243,277.99
161,108,279.01
161,113,210.42
161,115,167.7
161,129,148.61
161,160,166.64
161,172,148.63
161,177,206.19
162,153,196.17
162,154,193.68
162,157,145.15
162,163,112.91
162,166,138.01
162,169,194.98
162,170,145.26
163,162,194.67
163,164,99.99
163,166,144.79
163,169,152.29
163,170,264.2
164,163,139.97
164,165,101.48
164,166,127.59
164,169,231.04
165,36,103.5
165,41,163.28
165,164,83.12
165,166,132.95
165,169,311.93
165,233,219.48
166,153,109.98
166,154,325.31
166,162,161.1
166,163,147.0
166,164,187.6
166,165,189.02
166,233,176.9
167,111,137.3
167,146,146.67
167,171,146.83
167,188,188.14
167,189,156.09
168,7,147.7
168,203,192.21
168,222,139.31
168,228,298.88
169,41,154.35
169,48,154.2
169,54,543.5
169,130,190.45
169,162,304.64
169,163,232.6
169,164,242.11
169,165,182.51
169,170,254.07
169,179,281.32
169,235,557.09
169,243,238.74
169,246,261.98
169,278,146.93
169,306,284.92
